index,movie_id,track_list
30,tt0112792,Mr. Tambourine Man@ Let Me Die In My Footsteps@ Curiosity Killed a Cat@ This Is the Life@ Gangsta's Paradise@ Pastime Paradise@ Message for Your Mind@ I Want You Back@ Feel the Funk@ Havin Thangs@ Put Ya Back Into It@ Cars@ Problems@ True O.G.@ Gin and Guice@ Don't Go There@ Respect@ Curiosity@ Four Play@ It's Alright
31,tt0114746,"What a Wonderful World@ Blueberry Hill@ Sleep Walk@ Vertigo Theme@ Introduccion@ Comanche@ The Earth Died Screaming@ Music@ Pipeline@ Piano Concerto No. 21 In C Major, K.467@ Silent Night@ String Quartet No. 13 in a Minor 'Rosamunde' D804"
32,tt0114952,
33,tt0112431,Symphony No. 3 Op. 78@ Pizzicati@ Cantique de Jean Racine@ Lyric Piece No. - 28 Spring (Norwegian Dance)@ Blue Moon@ Toreador Aria@ If I Had Words@ Jingle Bells@ Away in a Manger
34,tt0112637,"Adagio from 'String Quintet in C Major', D. 956, op. post. 163@ When this lousy war is over@ Stomp Dance"
35,tt0112818,The Face of Love@ In Your Mind@ I Will Not Be Sad in This World@ This Is The Day The Lord Has Made@ Dle Yaman@ A Cool Wind Is Blowing@ Sacred Love@ Isa Lei@ The Long Road@ Shadow@ Be Not Afraid@ Dead Man Walkin'
36,tt0112286,
37,tt0113442,"Hippy, Hippy Shake@ Cantaloop (Flip Fantasia)@ I Got You (I Feel Good)@ (I've Got Spurs) Jingle Jangle Jingle@ A Horse with No Name@ Theme from Bonanza@ Hoe Down@ Twilight Zone Theme@ Theme from Psycho@ It Takes Two@ Tutti Frutti"
38,tt0112697,Kids in America@ Fashion@ Just a Girl@ Shoop@ Fake Plastic Trees (Acoustic Version)@ Shake Some Action@ Change@ Girls Just Want to Have Fun@ My Iron Lung@ Supermodel@ Buns of Steel 3@ Mentos Jingle 'Fresh Goes Better'@ Miss Brown to You@ Alright@ Someday I Suppose@ This Time@ Rollin' with My Homies@ Where'd You Go?@ Give It All You Got@ Here (Squirmel Mix)@ Away@ Closer to Heaven@ Also Sprach Zarathustra@ The Ghost in You@ I Believe I'm You@ My Forgotten Favorite@ OYSTERS & SNAILS (From 'Spartacus')@ All the Young Dudes@ All by Myself@ Summer of '42@ Mullet Head@ Ain't Nuttin' Wrong@ Tenderness@ Need Your Around@ Gigi@ Real Wild Child (Wild One)@ Mentos Theme Song
39,tt0112749,Exile
40,tt0114279,Come Live With Me@ I'm Sitting On The Top Of The World@ Te Deum: Marche en rondeau prelude
41,tt0112819,"I Was Made To Love Her@ Felicidad@ Keep On Pushing@ Down In The Valley@ Never Gonna Give You Up@ I Got The Feelin'@ Cowboys To Girls@ (Man Oh Man) I Want To Go Back@ Twenty-Five Miles@ Ain't That A Groove@ Do Right Woman, Do Right Man@ Say It Loud I'm Black And I'm Proud@ Once Upon A Time@ When Something Is Wrong With My Baby@ Banlee Journey@ Just My Imagination (Running Away With Me)@ Love Train@ Get Up And Get Down@ If You Want Me To Stay@ I'll Be Around@ Smiling Faces Sometimes@ The Payback@ What's Happening Brother@ The Look Of Love@ Watch What Happens@ We People Darker Than Blue@ Jingle Bells@ I Miss You@ Never, Never Gonna Give Ya Up@ Miller@ Rudolph, The Red-Nosed Reindeer@ If There's Hell Below@ Tired Of Being Alone@ Right On For Darkness@ Walk On By@ Where Is The Love"
42,tt0114272,Newcastle
43,tt0113855,Techno-Syndrome (7-inch Mix)@ What You See / We All Bleed Red@ Can't Happen Here@ Lost@ Lies@ Zero Signal@ Juke-Joint Jezebel (Metropolis Mix)@ Twist The Knife (Slowly)@ Control (Juno Reactor Instrumental)@ Halcyon + On + On@ Utah Saints Take on the Theme from Mortal Kombat@ Goodbye@ A Taste of Things to Come@ Goro Vs. Art@ Demon Warriors/Final Kombat@ I Reject
44,tt0114681,Susie Q@ Nothing from Nothing@ Godanginuta@ Wasting Away@ Wings of Desire@ Live It Cool@ Sweet Home Alabama@ All By Myself@ Season of the Witch@ Dirty Laundry@ The Star-Spangled Banner
45,tt0113347,"Matondoni Wedding@ The Wedding March@ Wedding Song@ Cherry, Cherry@ Swinging on a Star@ Beautiful Dreamer@ I Don't Want to Set the World on Fire@ After the Fire Is Gone@ Anybody Can Be Somebody's Fool@ You Belong to Me@ Il Trovatore (The Anvil Chorus)@ Dreamin'@ La Vie en Rose@ Riffin' at the Ritz@ At Last@ El vicio del amor"
46,tt0114369,"Closer (Precursor)@ El Michoacano@ Suite No. 3 in D Major, BWV 1068 Air@ Trouble Man@ Straight, No Chaser@ Now's the Time@ Gypsy Csardas@ The Fourth Man@ Love Plus One@ I Cover the Waterfront@ Lust@ In the Beginning@ Guilty@ Speaking of Happiness@ The Hearts Filthy Lesson@ William Tell Overture"
47,tt0114148,"Colors of the Wind (End Title)@ If I Never Knew You (Love Theme From Pocahontas)@ The Virginia Company@ The Virginia Company (Reprise)@ Steady as the Beating Drum@ Steady as the Beating Drum (Reprise)@ Just Around the Riverbend@ Listen with Your Heart I, II, III@ Mine, Mine, Mine@ Colors of the Wind@ Savages (Part 1)@ Savages (Part 2)@ If I Never Knew You"
48,tt0114916,Symphony No.4 in D Minor Op. 13@ Hallelujah
49,tt0114814,Le sons et les parfums tournent dans l'air du soir@ Steppin' Out@ Old MacDonald Had a Farm
50,tt0109950,NOISE MACHINE@ SHE'S HOME@ LOOK WHAT YOU DID@ IF YOU'VE GOT THE WILL
51,tt0113819,Neo Minore@ Manhattan@ Penthouse Serenade (When We're Alone)@ I've Found a New Baby@ Take Five@ The 'In' Crowd@ Li'l Darlin'@ Walkin' My Baby Back Home@ Horos Tou Sakena@ Whispering@ You Do Something to Me@ I Hadn't Anyone Till You@ When Your Lover Has Gone@ FAO Schwarz Clock Tower Song@ When You're Smiling (The Whole World Smiles with You)
52,tt0110299,Rosamunda@ L'Italiano@ Impazzivo per te
53,tt0112499,I Believe in You@ Sunny Side Up@ As Long As We Can Walk@ Fadeaway@ Kickin' Balls@ On the Road Again@ Ramblin
54,tt0113158,"Walk on the Wild Side@ Take Me Back@ Fa Fa Fa Fa Fa (Sad Song)@ Ain't Nobody's Business@ Gee Baby, Ain't I Good to You@ Whose Honey are You?@ There She Goes Again@ Almost Blue@ Sally Can't Dance@ Optimistic Voices@ Hava Nagila@ Yosel Yosel@ I'll Be Your Mirror@ Take Me to Aruanda@ Midnight Train to Georgia@ If I Wanted@ 56 Reasons to Go Downtown@ The Piano Has Been Drinking@ Hard Times@ Tornado@ Mercy@ House of the Gods@ Arizona Moon@ I Can't Stand It@ Cure for Pain@ Hate Me More@ Mr. Reed@ Shotgun Down the Avalanche"
