,imdb_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
56,tt0110877,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
57,tt0112714,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
58,tt0113419,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,tt0116260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60,tt0113862,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
61,tt0116126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,tt0118002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,tt0115683,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,tt0116839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,tt0114753,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,tt0113149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,tt0113118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,tt0116367,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
69,tt0113010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,tt0113537,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
71,tt0113828,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72,tt0115644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
73,tt0115676,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,tt0114367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
